Woodbourne Correctional Facility
Clinton Correctional Facility
Shawungunk
Eastern
MDC
Fishkill Correctional Facility
Otisvelle
other
Gowanda
Bedford Hill
Watertown
Great Meadow

Washington Correctional Facility
Southport
Wende
Germantown Pike
Dutchess County Jail
Sing-Sing
Bedoford
Collins
Franklin
Upstate
Attica Correctional Facility
Auburn
Groveland
Altona
Gowanda Correctional Facility
Riverview
Albion Correctional Facility
Ulster County Jail
Beacon NY
Sullivan
Cayuga
Cape Vincent Correctional Facility
Southport Correctional Facility
Hudson
Bedford
Washington
Gouverneur Correctional Facility
Downstate
Mohawk
Elmira
Great Meadow Correctional Facility
Upstate Correctional Facility
Shawagunk
Corcoran
Shawangunk Correctional Facility
Wyoming
Wallkill Correctional Facility
IBC
Green Haven Correctional Facility
Greene
Coxsackie Correctional Facility
Walsh RMU
Cape Vincent
Taconic
Eastern Correctional Facility
Warkill
Otisville Correctional Facility
Coxsackie
Suffolk County
Bedford Hills
Elmira Correctional Facility
Rikers
Green Haven
Sing Sing Correctional Facility
Woodbourne
Bare Hill Correctional Facility
Bedford Hills Correctional Facility
""
Gouveneur
Otisville
Queensboro
Adirondack
Watertown Correctional Facility
Shwangunk
Attica
Five Points
Wallkill
Edgecombe
Albion
Orleans
Beacon
Fishkill
Mid-State
Ulster
Westchester
Clinton
Gouverneur
Shawangunk
Five Points Correctional Facility
Sing Sing
Marcy Correctional Facility
Marcy
Willard
Mid-State Correctional Facility
Auburn Correctional Facility
UpState
Bare Hill
